name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,kmeans
Look Back at It,Hoodie SZN,A Boogie Wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8,2018-12-21,74,179449,0.791,0.407,0.587,0.0,0.148,0.536,-5.075,0.0413,96.057,3,4,0
Congratulations,Stoney (Deluxe),Post Malone,3a1lNhkSLSkpJE4MSHpDu9,2016-12-09,83,220293,0.63,0.215,0.804,0.0,0.253,0.492,-4.183,0.0363,123.146,6,4,0
HUMBLE.,DAMN.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,2017-04-14,84,177000,0.908,0.000282,0.621,5.39e-05,0.0958,0.421,-6.638,0.102,150.011,1,4,0
We Still in this Bitch (feat. T.I. and Juicy J),Underground Luxury,B.o.B,3aHkbJXFYpPrup2K8wvDOV,2013-12-16,56,247986,0.693,0.013,0.733,0.0,0.0924,0.497,-5.126,0.139,140.01,1,4,0
Who Do You Love?,My Krazy Life (Deluxe),YG,1uDjaezEbalGyGnuH80zDK,2014-01-01,0,233506,0.676,0.0281,0.415,0.0,0.0915,0.146,-9.752,0.508,193.206,9,4,0
The Buzz,The Buzz EP,Hermitude,5BlFSazmvKtnxCqYT0eALH,2015-07-17,0,221786,0.726,0.334,0.583,0.00135,0.122,0.491,-6.434,0.23,140.943,0,4,0
Pull Up (feat. Lil Uzi Vert),Pull Up (feat. Lil Uzi Vert),Wiz Khalifa,6LTsvaebP6V9tJFvZxqi5M,2016-05-25,55,207391,0.852,0.0178,0.764,0.0,0.336,0.266,-4.283,0.0631,132.981,8,4,0
Shotta Flow 5,Shotta Flow 5,NLE Choppa,1orjH4IkSH9VrWmRCToKV8,2020-06-12,62,145167,0.806,0.0838,0.749,0.0,0.0621,0.77,-5.268,0.328,140.032,1,4,0
Make It Rain,Make It Rain,Pop Smoke,4TgHt7vKCimpywaiKfl0uj,2020-06-12,62,204000,0.54,0.194,0.77,2.74e-05,0.372,0.565,-3.981,0.389,159.494,1,4,0
Covid (feat. Lil Baby),The Smartest,Tee Grizzley,1ZLY8266W29FyBgHtiJmt4,2020-06-19,40,147706,0.858,0.452,0.626,2.28e-05,0.118,0.724,-7.797,0.312,100.542,9,4,0
The Smartest Intro,The Smartest,Tee Grizzley,2ZccygxtuXd0hu8zF7GQbO,2020-06-19,51,184793,0.84,0.449,0.704,0.0,0.145,0.381,-5.986,0.199,103.998,6,4,0
The Funeral,The Smartest,Tee Grizzley,1pN8csmizaC1a9HFFUgM3w,2020-06-19,39,132605,0.556,0.0759,0.833,0.0,0.184,0.608,-4.557,0.371,130.524,1,5,0
Everything,The Smartest,Tee Grizzley,21DGZdB8iX2fadmNTY41nh,2020-06-19,43,113711,0.914,0.223,0.897,0.0316,0.118,0.796,-3.012,0.247,102.013,7,4,0
Trenches (feat. Big Sean),The Smartest,Tee Grizzley,1YARvmnEtIcMubDqNlUhEC,2020-06-19,47,156216,0.808,0.385,0.757,0.0,0.361,0.385,-3.615,0.097,104.967,4,4,0
Again,Fetty Wap (Deluxe),Fetty Wap,3ESSGgWzRf1xvP7G5hHMhB,2015-09-25,67,312240,0.748,0.0062,0.733,0.0,0.329,0.291,-4.421,0.072,93.019,11,4,0
Faneto,Back From The Dead 2,Chief Keef,6J1SjVyNDzkZ3sF85Ndd3B,2015-06-16,44,206654,0.849,0.346,0.755,0.0,0.0564,0.393,-7.399,0.363,144.186,1,4,0
Wishing For A Hero (feat. BJ The Chicago Kid),THE GOAT,Polo G,192RjH0gN6en7nE6ElN96T,2020-05-15,64,184444,0.562,0.0679,0.589,0.0,0.0684,0.188,-7.509,0.265,88.903,7,1,0
PICK UP (feat. Quavo),BLAME IT ON BABY,DaBaby,5gNOINI5dXZVom2b36LMOd,2020-04-17,62,118546,0.915,0.0944,0.612,0.0,0.115,0.758,-4.535,0.407,129.93,1,4,0
We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,6gxKUmycQX7uyMwJcweFjp,2020-05-01,74,181929,0.926,0.135,0.542,0.0,0.0877,0.564,-5.064,0.293,135.14,1,4,0
Roses Remix (feat. Future),Roses Remix (feat. Future),SAINt JHN,1KyZ4rUiW2lkqGNLQYKpcC,2020-05-29,60,187897,0.941,0.0247,0.463,5.53e-05,0.192,0.312,-5.993,0.113,127.003,8,4,0
I'm Goin In,I'm Goin In,Drake,5aooThgj87ID0vgiyvcjPM,2009-09-15,65,225306,0.662,0.0389,0.763,0.0,0.103,0.566,-8.455,0.377,170.031,1,4,0
Slide (feat. Blueface & Lil Tjay),Slide (feat. Blueface & Lil Tjay),French Montana,40Zb4FZ6nS1Hj8RVfaLkCV,2019-04-16,55,186344,0.532,0.093,0.704,0.0,0.184,0.591,-3.895,0.26,96.004,5,4,0
Aim For The Moon (feat. Quavo),Shoot For The Stars Aim For The Moon,Pop Smoke,6O7fPYTsb2mY0PiFt2ymDB,2020-07-03,64,175756,0.713,0.497,0.605,3.46e-06,0.115,0.432,-7.487,0.107,142.025,11,4,0
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,0PvFJmanyNQMseIFrU708S,2020-07-03,82,190476,0.823,0.114,0.586,0.0,0.193,0.347,-6.606,0.2,125.971,6,4,0
44 BullDog,Shoot For The Stars Aim For The Moon,Pop Smoke,7sjFIZ1g5QLJLGja3k592K,2020-07-03,64,150857,0.8,0.0287,0.564,1.65e-06,0.112,0.318,-5.817,0.4,139.989,8,4,0
Creature (feat. Swae Lee),Shoot For The Stars Aim For The Moon,Pop Smoke,3eV2WT9YhfzkxbufnBF8wK,2020-07-03,60,202815,0.794,0.0511,0.717,0.0,0.195,0.372,-5.73,0.251,141.881,7,4,0
Snitching (feat. Quavo & Future),Shoot For The Stars Aim For The Moon,Pop Smoke,2FhEj9lvEIaJihjFprRrGt,2020-07-03,56,259346,0.944,0.0381,0.579,0.0,0.253,0.769,-4.961,0.191,135.033,8,4,0
West Coast Shit (feat. Tyga & Quavo),Shoot For The Stars Aim For The Moon,Pop Smoke,1JDhNQ0oOT7XpclZn3aQ8F,2020-07-03,58,192000,0.831,0.0885,0.762,0.0,0.107,0.495,-5.656,0.207,99.999,11,4,0
Tunnel Vision (Outro),Shoot For The Stars Aim For The Moon,Pop Smoke,2SxR5RitJdsG6wINvJLBSD,2020-07-03,56,132587,0.718,0.363,0.66,0.0,0.159,0.659,-7.39,0.325,142.879,2,4,0
Self Control,AI YoungBoy 2,YoungBoy Never Broke Again,4vSoyDfL0uZyUoWu5NNNsQ,2019-10-11,66,185865,0.82,0.0349,0.697,0.0,0.197,0.629,-7.296,0.378,154.992,6,4,0
"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,5h5tBFnbcVioFXiOixTn6E,2012-10-22,67,310720,0.587,0.0152,0.698,0.0,0.442,0.0985,-8.948,0.0943,133.954,1,4,0
Down Below,Feed Tha Streets II,Roddy Ricch,4SWWe2OYC4mqf40Gc2RSdl,2018-11-02,75,224002,0.926,0.036,0.454,0.000422,0.0896,0.34,-9.932,0.0732,119.969,6,4,0
Man Of The Year,Legends Never Die,Juice WRLD,1uA914Md6wsy9NDryyBypH,2020-07-10,1,136408,0.621,0.00584,0.695,0.0,0.086,0.298,-5.124,0.0911,173.966,4,4,0
Turks (with Gunna & ft. Travis Scott),Good Intentions,NAV,7IMwEtpAiJanqF6vQteZN2,2020-05-08,66,161319,0.894,0.0808,0.618,0.0,0.558,0.379,-4.356,0.129,119.1,7,4,0
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2MbdDtCv5LUVjYy9RuGTgC,2020-06-24,77,227478,0.904,0.0631,0.723,0.0,0.185,0.835,-5.224,0.26,145.013,11,4,0
California Love - Original Version,The Best of 2Pac,2Pac,3djNBlI7xOggg7pnsOLaNm,2007-12-03,68,284480,0.761,0.0292,0.847,2.26e-06,0.39,0.765,-3.068,0.0417,91.519,7,4,0
March Madness,March Madness,Future,6hVGw7yVUd2bpdHMPCWrtN,2015-08-31,0,244613,0.406,0.173,0.661,0.0,0.101,0.335,-5.142,0.311,180.206,8,3,0
Aww Mane,Aww Mane,Bway Yungy,57tZ51d2ReoFiLhCG00Un7,2020-06-18,0,158184,0.552,0.203,0.713,0.0,0.0833,0.695,-7.363,0.296,170.042,7,4,0
Hit 'Em Up - Single Version,Greatest Hits,2Pac,0Z2J91b2iTGLVTZC4fKgxf,1998-01-01,81,312626,0.916,0.0394,0.844,0.0,0.0778,0.586,-3.967,0.236,95.19,7,4,0
Why We Thugs,"Laugh Now, Cry Later",Ice Cube,5880eYQmXx3c3oD22IljIt,2006-01-01,67,224106,0.683,0.326,0.59,0.0,0.148,0.653,-5.423,0.458,100.892,1,4,0
We Dem Boyz,Blacc Hollywood (Deluxe),Wiz Khalifa,1ULa3GfdMKs0MfRpm6xVlu,2014-08-19,65,224933,0.717,0.00689,0.862,0.0,0.321,0.52,-4.736,0.054,130.021,8,4,0
My Nigga,My Krazy Life (Deluxe),YG,02pf9lLM8Nb8l4u4ts1GWb,2014-01-01,1,235600,0.673,0.0933,0.464,0.0,0.21,0.762,-6.864,0.201,171.043,10,4,0
Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,2NBQmPrOEEjA8VbeWOQGxO,2004-01-01,77,266066,0.888,0.19,0.632,0.0,0.101,0.662,-3.872,0.219,91.979,1,4,0
6 Foot 7 Foot,Tha Carter IV (Deluxe),Lil Wayne,0z5ZPs57J2KERwM1tBM2GF,2011-01-01,4,248586,0.365,0.000707,0.751,0.0,0.318,0.604,-5.429,0.304,79.119,2,4,0
I Don't Fuck With You,Dark Sky Paradise,Big Sean,7FYH5AW3bVfZHJIQpq3UOA,2015-02-24,75,284386,0.824,0.0362,0.733,0.0,0.325,0.395,-5.474,0.0613,97.972,1,4,0
Still D.R.E.,2001,Dr. Dre,503OTo2dSqe7qk76rgsbep,1999-11-16,85,270586,0.816,0.16,0.775,0.00031,0.0543,0.527,-3.323,0.234,93.431,11,4,0
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,6EDO9iiTtwNv6waLwa1UUq,2020-07-17,76,200221,0.8,0.057,0.56,0.0,0.134,0.45,-4.818,0.261,163.071,5,4,0
Legend,If You're Reading This It's Too Late,Drake,1ID1QFSNNxi0hiZCNcwjUC,2015-02-12,68,241853,0.714,0.0266,0.563,0.0,0.0776,0.31,-7.574,0.0723,100.091,1,4,0
Thrift Shop (feat. Wanz),The Heist (Deluxe Edition),Macklemore & Ryan Lewis,3AYcyxEACnmE6d96RPubID,2012-10-09,1,235613,0.781,0.0619,0.526,0.0,0.0457,0.662,-6.985,0.293,94.992,6,4,0
Life Goes On,Harder Than Ever,Lil Baby,2bSk87AVkCIIC3Bcligq1z,2018-05-18,76,247054,0.716,0.0021,0.541,0.0,0.115,0.387,-7.909,0.149,139.978,1,4,0
Don't Like.1,Kanye West Presents Good Music Cruel Summer,Various Artists,12D0n7hKpPcjuUpcbAKjjr,2012-01-01,7,283653,0.668,0.00822,0.628,0.0,0.145,0.621,-5.327,0.205,131.88,6,4,0
6 Man,If You're Reading This It's Too Late,Drake,4kdfjhj9xNkYU0R8xlDy8k,2015-02-12,60,167653,0.568,0.217,0.535,0.0,0.114,0.326,-9.306,0.513,83.589,4,4,0
INTRO,KIRK,DaBaby,77KMttn3Lic7ZQKDlPqp8v,2019-09-27,60,172800,0.862,0.0342,0.685,0.0,0.204,0.672,-7.699,0.242,100.024,0,4,0
Used to This (feat. Drake),EPIC LIT,Various Artists,4etcWRIqU3xEhXz4UBPtXd,2017-02-24,19,180520,0.618,0.0312,0.727,0.0,0.196,0.401,-7.224,0.208,164.992,3,4,0
679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ,2015-06-29,75,196693,0.618,0.00256,0.717,0.0,0.625,0.603,-5.738,0.318,190.05,7,4,0
Hate Bein' Sober,Finally Rich (Deluxe),Chief Keef,3SuzCeGoNOWmbWOoDMou0B,2012-01-01,28,280173,0.82,0.00435,0.47,0.0,0.141,0.313,-7.181,0.0458,132.003,8,4,0
Started From the Bottom,Nothing Was The Same,Drake,5DI9jxTHrEiFAhStG7VA8E,2013-01-01,67,174133,0.793,0.0319,0.524,0.0,0.156,0.579,-7.827,0.156,86.325,8,4,0
Portland,More Life,Drake,2bjwRfXMk4uRgOD9IBYl9h,2017-03-18,73,236614,0.925,0.0172,0.443,0.0,0.276,0.35,-8.216,0.264,136.078,1,4,0
Energy,If You're Reading This It's Too Late,Drake,79XrkTOfV1AqySNjVlygpW,2015-02-12,73,181933,0.747,0.38,0.571,0.0,0.534,0.553,-7.916,0.478,172.104,11,4,0
Ruff Rydas - From Road To Fast 9 Mixtape,Ruff Rydas (From Road To Fast 9 Mixtape),NLE Choppa,5uFtpU4N0h1YhYw8n5TGI5,2020-07-23,38,169353,0.683,0.502,0.741,4.94e-06,0.233,0.585,-5.283,0.0504,150.998,11,4,0
Otherside Of America,Otherside Of America,Meek Mill,3JBvJ9PwrYA1oeUzI3FMRI,2020-06-05,54,218103,0.73,0.0878,0.772,0.0,0.401,0.403,-3.883,0.316,147.053,5,4,0
All Mine,ye,Kanye West,3U21A07gAloCc4P7J8rxcn,2018-06-01,75,145506,0.925,0.123,0.31,0.0,0.0931,0.291,-6.531,0.291,121.927,11,4,0
Gold Digger,Late Registration,Kanye West,1PS1QMdUqOal0ai3Gt7sDQ,2005-08-30,80,207626,0.629,0.0195,0.696,0.0,0.0554,0.623,-5.572,0.348,93.034,1,4,0
Narrow Road (feat. Lil Baby),Narrow Road (feat. Lil Baby),NLE Choppa,3GZd1aDsgKL71Kt3VIp0hc,2020-07-30,61,240297,0.614,0.0306,0.553,0.0,0.203,0.161,-8.225,0.169,159.999,7,4,0
I Got 5 On It,Operation Stackola,Luniz,4IYKjN1DrYzxKXt0umJqsG,1995-01-01,75,253533,0.6,0.209,0.706,0.0,0.125,0.58,-7.899,0.361,173.926,10,4,0
Burn The Hoods,Burn The Hoods,Ski Mask The Slump God,34PhB0kHT00utubP3aTau8,2020-07-24,64,102960,0.871,0.196,0.715,0.0,0.14,0.378,-7.828,0.147,150.955,3,4,0
Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,4Km5HrUvYTaSUfiSGPJeQR,2017-04-07,48,343150,0.926,0.0611,0.666,0.0,0.123,0.168,-5.314,0.244,127.079,11,4,0
Jumpman,What A Time To Be Alive,Drake,27GmP9AWRs744SzKcpJsTZ,2015-09-20,73,205879,0.852,0.0559,0.553,0.0,0.332,0.656,-7.286,0.187,142.079,1,4,0
Clique,Kanye West Presents Good Music Cruel Summer,Various Artists,7eW9cHOAHmYqphs5tWXETw,2012-01-01,2,293613,0.71,0.0601,0.555,0.0,0.227,0.303,-5.942,0.295,109.204,9,5,0
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2P3SLxeQHPqh8qKB6gtJY2,2012,73,300160,0.779,0.157,0.572,0.0,0.246,0.647,-9.985,0.378,135.956,6,4,0
Who TF Up in My Trap,Top Shotta,NLE Choppa,1Pyop9EzExU4XxUbEkRHXu,2020-08-07,0,144534,0.621,0.0273,0.799,0.0,0.231,0.687,-4.94,0.0723,173.087,2,4,0
Top Shotta Flow,Top Shotta,NLE Choppa,4vxJSZUwtaRKaMhACjvurQ,2020-08-07,0,166741,0.759,0.0186,0.62,0.0,0.0855,0.834,-6.889,0.363,149.975,11,4,0
Neighborhood Watch,Top Shotta,NLE Choppa,34rDrlkBHlleqVecRwoAce,2020-08-07,0,202191,0.801,0.132,0.583,0.0,0.122,0.686,-8.937,0.357,146.081,5,4,0
I'm Up (feat. Kid Ink & French Montana),I'm Up (feat. Kid Ink & French Montana),Omarion,1hlwA8qvXx0Bl6iYuDbIuD,2015-06-18,53,201336,0.793,0.204,0.505,0.0,0.0413,0.704,-7.061,0.138,97.998,6,4,0
Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,5rb9QrpfcKFHM1EUbSIurX,2004-03-23,83,250373,0.894,0.0183,0.791,0.0,0.0388,0.583,-4.699,0.112,105.018,2,4,0
Boyz-N-The-Hood,N.W.A. And The Posse,N.W.A.,5RGXoZt1qxmAErdhbyKJKq,1987-01-01,69,339893,0.785,0.0417,0.479,3.5e-05,0.334,0.727,-10.247,0.362,87.691,3,4,0
Hail Mary,Greatest Hits,2Pac,2zoobJFEB9h15fjYjRd6oP,1998-01-01,67,312373,0.772,0.158,0.644,4.14e-06,0.366,0.388,-6.318,0.265,82.05,10,4,0
It Was A Good Day,The Predator,Ice Cube,2qOm7ukLyHUXWyR4ZWLwxA,1992-11-17,81,260000,0.798,0.33,0.744,0.000106,0.292,0.794,-5.328,0.136,82.356,7,4,0
Straight Outta Compton,Straight Outta Compton,N.W.A.,6KIKRz9eSTXdNsGUnomdtW,1988-08-08,72,258687,0.834,0.0461,0.878,0.0,0.334,0.418,-9.484,0.15,102.848,8,4,0
Juicy - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,5ByAIlEEnxYdvpnezg7HTX,1994-09-13,77,302760,0.889,0.47,0.818,0.0,0.179,0.782,-4.639,0.253,96.063,9,4,0
Deadly Combination (feat. 2Pac),The Big Picture,Big L,71qTrOPHOj1KDEy0IG2Zjg,2016-07-15,0,152373,0.901,0.0913,0.513,0.0,0.267,0.628,-10.029,0.305,91.477,1,4,0
BIRDBOY,BIRDBOY,NLE Choppa,3ngpmF7yiqVMesqqGuepX1,2019-04-18,57,129306,0.865,0.0552,0.428,0.0,0.307,0.531,-9.901,0.853,123.163,1,4,0
Free Youngboy,Free Youngboy,NLE Choppa,3cuykPS9TJOWufYPvTUOTN,2019-06-14,53,164832,0.698,0.0133,0.791,0.0,0.361,0.838,-6.581,0.255,87.497,10,4,0
Make Em Say (feat. Mulatto),Top Shotta,NLE Choppa,4dngUamfm6p0w111i1zyT2,2020-08-07,0,202954,0.658,0.0103,0.823,0.0,0.0801,0.232,-3.502,0.16,170.498,1,4,0
Hittas (feat. NLE Choppa),Baccend Beezy,Yella Beezy,7LOcwrqPDk1KVRPuxkcdcR,2019-07-19,0,215388,0.836,0.0695,0.716,0.0,0.177,0.701,-5.487,0.186,129.999,2,4,0
Stick By My Side,Stick By My Side,NLE Choppa,0i13kILDvqXijVH5UBA2De,2019-05-30,48,115120,0.781,0.0652,0.397,0.00082,0.11,0.108,-9.911,0.0717,134.178,0,4,0
All Bad (feat. Lil Uzi Vert),High Off Life,Future,021lWIHJrURZrmvYQ1xcM8,2020-05-15,59,207738,0.931,0.0144,0.667,0.0,0.15,0.667,-7.043,0.318,142.039,6,4,0
On The Road (feat. Meek Mill & Lil Baby),Hollywood's Bleeding,Post Malone,0hGH0S74Eoyv6mXZcOKtdQ,2019-09-06,0,218320,0.442,0.0589,0.737,0.0,0.102,0.21,-5.046,0.109,112.93,7,5,0
m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2cDCojn6uIBM6A5xTAbl3H,2012,68,350120,0.487,0.0538,0.729,4.07e-06,0.44,0.217,-6.815,0.271,91.048,2,4,0
Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,2020-08-14,81,261492,0.761,0.244,0.518,3.47e-05,0.107,0.522,-8.871,0.134,133.976,0,4,0
Need It,Need It,Migos,6mtjo5kIHKlboGE84lf1FJ,2020-05-22,69,195680,0.852,0.0313,0.745,0.0,0.0824,0.897,-3.667,0.171,148.007,11,4,0
Hurtin,My Turn,Lil Baby,1sMalYr4ASm3kOr3K9JEh6,2020-02-28,52,163652,0.804,0.0624,0.422,1.41e-06,0.137,0.157,-8.788,0.35,93.871,6,4,0
Many Men (Wish Death),Get Rich Or Die Tryin',50 Cent,2I9foKseoFQh07p6sD2voE,2003-02-06,71,256226,0.653,0.0153,0.826,0.00146,0.131,0.416,-2.93,0.354,108.52,6,5,0
Smile,Greatest Hits,Scarface,2wxO3ZydJTZRi4Bbc02q7i,2010-01-01,61,300600,0.7,0.0498,0.402,1.04e-06,0.16,0.499,-9.93,0.278,77.871,5,4,0
Ambitionz Az A Ridah,All Eyez On Me,2Pac,20fBuVybkHgjF6vNhSMROD,1996,5,278386,0.801,0.00253,0.908,0.000655,0.0698,0.805,-6.554,0.221,87.279,2,4,0
Over Your Head,Over Your Head,Future,0Tcw8w9pvPrZoORgxsNASW,2020-07-31,55,186842,0.773,0.00198,0.742,0.0,0.558,0.35,-5.453,0.162,148.949,5,4,0
Flexin',Flexin',Pop Smoke,7mpoOB5YMpPnbllsALgSfr,2019-06-28,66,158693,0.605,0.113,0.868,3.79e-05,0.305,0.517,-5.802,0.317,147.937,7,4,0
Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),Rod Wave,0qJeyYAgv6UpvewUxRXAhb,2020-08-07,8,235987,0.874,0.147,0.443,0.0,0.124,0.298,-9.628,0.241,118.004,5,4,0
She Knows,Non-Fiction (Deluxe),Ne-Yo,7seTcUFOhn5caSDbiSfsp0,2015-01-20,67,214725,0.706,0.0262,0.572,0.0,0.585,0.574,-5.799,0.0326,139.982,8,4,0
Dangerous,Not 4 Sale,Kardinal Offishall,4NOZ35Dhucr6UlVyLOtktd,2008-01-01,76,246053,0.949,0.00437,0.79,0.0,0.0816,0.807,-5.957,0.0756,117.002,8,4,0
Yea Yea,Shoot For The Stars Aim For The Moon,Pop Smoke,0bjgQ24UZGwKikldIyEOgf,2020-07-03,60,185803,0.717,0.0509,0.474,0.0,0.139,0.448,-8.383,0.403,123.906,5,4,0
Gamble With My Heart,Top Shotta,NLE Choppa,5FEUjQpNQcGMkv4PPlEn9K,2020-08-10,41,182640,0.484,0.0521,0.616,0.0,0.133,0.375,-8.098,0.199,83.6,0,4,0
All In,Kacey Talk,YoungBoy Never Broke Again,4ujhIlrqgGGTGrvqaG1qMZ,2020-08-13,0,156662,0.511,0.053,0.654,0.0,0.316,0.279,-6.133,0.314,154.868,8,4,0
Prospect (ft. Lil Baby),I'm Gone,iann dior,4iHSE5R1U8jf84tRn52xRt,2020-06-12,64,226313,0.816,0.203,0.579,0.0,0.127,0.43,-6.097,0.0867,120.078,1,4,0
Conversations,Legends Never Die,Juice WRLD,4K06PO78fW4mnBVenxGNob,2020-07-10,74,181661,0.747,0.176,0.622,0.0,0.151,0.57,-5.825,0.0838,159.93,11,4,0
Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,5wujBwqG7INdStqGd4tRMX,2018-12-10,79,169999,0.736,0.186,0.67,0.0,0.114,0.845,-6.702,0.311,130.032,10,4,0
Realer N Realer,Future & Juice WRLD Present... WRLD ON DRUGS,Future,4VMiNOpnjRwSCwmHaUfOMM,2018-10-19,66,170920,0.73,0.0117,0.465,0.0,0.28,0.367,-6.29,0.278,148.028,1,4,0
Big,Death Race For Love,Juice WRLD,4rWC4tiO4NCwRHdh6vyu6b,2019-03-08,12,224063,0.768,0.0628,0.641,0.0,0.0912,0.231,-6.197,0.114,144.963,11,4,0
Wasted (feat. Lil Uzi Vert),Goodbye & Good Riddance,Juice WRLD,1a7WZZZH7LzyvorhpOJFTe,2018-12-10,78,258475,0.742,0.0381,0.579,0.0,0.0952,0.502,-5.024,0.202,144.994,0,4,0
Ring Ring (with Rvssian feat. Clever),Death Race For Love,Juice WRLD,4zxpssj8DyrfZcEUSUiNxG,2019-03-08,17,171816,0.581,0.0768,0.673,0.0,0.4,0.621,-4.421,0.0549,160.073,0,4,0
Demons and Angels (feat. Juice WRLD),Hoodie SZN,A Boogie Wit da Hoodie,3L19besdNQzd342qL78xqm,2018-12-21,70,214592,0.81,0.0114,0.55,5.69e-06,0.107,0.183,-7.46,0.17,76.503,2,4,0
Nuketown (feat. Juice WRLD),STOKELEY,Ski Mask The Slump God,74lnM5V6ecvoTPV0fvptx9,2018-11-30,76,166400,0.808,0.113,0.617,0.0,0.734,0.632,-9.32,0.442,149.962,10,4,0
A-O-K,A-O-K,Tai Verdes,4CbrNGvwVjneG8Nk9YQqMR,2021-05-06,19,173640,0.731,0.125,0.626,0.0,0.183,0.862,-6.919,0.0805,82.488,11,4,0
Mr. Angel,Just To Be Ironic,Tommy Newport,29gMFgHls5ghU24gLLFTf4,2018-11-16,47,240000,0.671,0.11,0.51,1.04e-05,0.0883,0.395,-7.357,0.0323,167.987,0,4,0
Greyhound,Greyhound,Pell,3ORawnFOkFrsIpzoxLso8l,2018-09-07,45,198213,0.615,0.0165,0.703,0.0,0.179,0.818,-6.082,0.0499,169.977,1,4,0
JUNE,JUNE,NASAYA,7J6ksWrraIusOZztXNyFdw,2020-07-29,48,212631,0.602,0.0223,0.526,0.000136,0.0614,0.634,-7.4,0.228,114.043,0,4,0
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,0uI7yAKUf52Cn7y3sYyjiX,2018-10-16,72,177666,0.815,0.223,0.518,0.0,0.104,0.877,-6.594,0.0897,151.891,7,4,0
Outskirts Of Infinity,Outskirts Of Infinity,Ashes To Amber,77EtpdLPsfzFOBONaTc1IQ,2020-03-28,40,187846,0.744,0.51,0.66,9.38e-05,0.135,0.74,-6.999,0.0365,129.984,4,4,0
Photo ID (with Dominic Fike),Photo ID (with Dominic Fike),Remi Wolf,4Ke6Ac2MVPhfQH3xPTjVZ3,2021-03-03,37,207926,0.758,0.31,0.843,0.0,0.223,0.851,-3.323,0.103,115.927,1,4,0
Sit Next to Me - Stereotypes Remix,Sit Next to Me (Stereotypes Remix),Foster The People,4v0CuFW0bEMBQ1gRn2mB3X,2018-02-23,56,190720,0.68,0.173,0.738,0.00036,0.37,0.675,-4.881,0.0331,105.015,6,4,0
Change My Mind,Camp Nowhere,Peach Tree Rascals,1OAvHPLuZFfuMZE3IL9Pun,2021-03-26,47,121405,0.703,0.3,0.644,0.0,0.367,0.728,-5.467,0.213,177.917,1,4,0
Canyon Moon,Fine Line,Harry Styles,5IhzJOXNE7ki0IIJbZbnGq,2019-12-13,76,189786,0.603,0.328,0.621,3.49e-05,0.119,0.7,-7.14,0.0267,94.022,2,4,0
Orphans,Orphans / Arabesque,Coldplay,6YQlCOZnlFmqeciAh58fDE,2019-10-24,52,197533,0.503,0.0258,0.808,0.00149,0.557,0.282,-5.051,0.0451,107.973,11,4,0
Happiness,Happiness,Wingtip,5JDL0rNULeovZKR4GNbz4B,2019-07-10,52,171158,0.816,0.0398,0.72,0.0,0.148,0.81,-8.33,0.152,91.018,6,4,0
Olivia,Made In The A.M. (Deluxe Edition),One Direction,5dONhl6aXFuN86UBdayF6W,2015-11-13,73,177973,0.64,0.0438,0.681,0.0,0.166,0.676,-5.362,0.0334,118.062,6,4,0
Run the World!!!,Fuzzybrain,Dayglow,0AsUVUloJ52ZCXmqrMFgOI,2019-11-14,68,176250,0.706,0.158,0.631,0.000607,0.0374,0.424,-7.711,0.0553,160.064,0,4,0
Big Love (with EARTHGANG & MNDR),Here For Now,Louis The Child,25Q6XHjKEyaXzCvKlwDpPP,2020-06-26,53,167480,0.669,0.00498,0.748,0.0,0.17,0.373,-3.218,0.106,87.012,8,4,0
Walking in the Wind,Made In The A.M. (Deluxe Edition),One Direction,1ZycJRpLOazlLcoFGxGROO,2015-11-13,68,202640,0.687,0.0829,0.447,0.0,0.0878,0.501,-6.586,0.0486,114.578,8,4,0
Chapstick - Demo,Demos II,Hippo Campus,0XMl74P3Gx6wvf1PumII1I,2019-07-10,30,198373,0.579,0.713,0.767,0.825,0.137,0.858,-5.779,0.0334,159.924,11,4,0
